image_names,u [mm],Fh [kN]
LS10_to_LS11_RS3_0031,0.688233009,2.612
LS10_to_LS11_RS3_0032,0.660438724,1.42
LS10_to_LS11_RS3_0033,0.632687016,0.488
LS10_to_LS11_RS3_0034,0.601863118,-0.2831
LS10_to_LS11_RS3_0035,0.570177358,-1.37
LS10_to_LS11_RS3_0036,0.547322758,-2.073
LS10_to_LS11_RS3_0037,0.524677345,-2.877
LS10_to_LS11_RS3_0038,0.499532476,-4.016
LS10_to_LS11_RS3_0039,0.47128195,-5.03
LS10_to_LS11_RS3_0040,0.438678357,-6.111
LS10_to_LS11_RS3_0041,0.406612373,-6.982
LS10_to_LS11_RS3_0042,0.380520336,-8.299
LS10_to_LS11_RS3_0043,0.3464585,-9.184
LS10_to_LS11_RS3_0044,0.312007033,-10.58
LS10_to_LS11_RS3_0045,0.277040441,-11.44
LS10_to_LS11_RS3_0046,0.241959494,-12.88
LS10_to_LS11_RS3_0047,0.201036421,-14.02
LS10_to_LS11_RS3_0048,0.170244802,-14.95
LS10_to_LS11_RS3_0049,0.136598209,-16.16
LS10_to_LS11_RS3_0050,0.105193014,-17.33
LS10_to_LS11_RS3_0051,0.065844154,-18.83
LS10_to_LS11_RS3_0052,0.03209914,-20.05
LS10_to_LS11_RS3_0053,-0.000652089,-21.23
LS10_to_LS11_RS3_0054,-0.033680776,-22.55
LS10_to_LS11_RS3_0055,-0.072206931,-23.53
LS10_to_LS11_RS3_0056,-0.106455805,-24.97
LS10_to_LS11_RS3_0057,-0.14017175,-25.95
LS10_to_LS11_RS3_0058,-0.179138639,-27.38
LS10_to_LS11_RS3_0059,-0.222735666,-28.37
LS10_to_LS11_RS3_0060,-0.252063491,-29.61
LS10_to_LS11_RS3_0061,-0.293159698,-31.13
LS10_to_LS11_RS3_0062,-0.321857255,-32.11
LS10_to_LS11_RS3_0063,-0.364385465,-33.34
LS10_to_LS11_RS3_0064,-0.399713555,-34.56
LS10_to_LS11_RS3_0065,-0.433771635,-36.02
LS10_to_LS11_RS3_0066,-0.474147378,-37.22
LS10_to_LS11_RS3_0067,-0.504309335,-38.13
LS10_to_LS11_RS3_0068,-0.545760029,-39.51
LS10_to_LS11_RS3_0069,-0.584047554,-40.34
LS10_to_LS11_RS3_0070,-0.638462325,-41.34
LS10_to_LS11_RS3_0071,-0.673058596,-42.35
LS10_to_LS11_RS3_0072,-0.717312998,-43.29
LS10_to_LS11_RS3_0073,-0.761161839,-44.11
LS10_to_LS11_RS3_0074,-0.804635963,-44.87
LS10_to_LS11_RS3_0075,-0.848546439,-45.73
LS10_to_LS11_RS3_0076,-0.886049018,-46.36
LS10_to_LS11_RS3_0077,-0.931051773,-46.83
LS10_to_LS11_RS3_0078,-0.980888348,-47.48
LS10_to_LS11_RS3_0079,-1.021839807,-47.85
LS10_to_LS11_RS3_0080,-1.07640778,-48.29
LS10_to_LS11_RS3_0081,-1.125417644,-48.6
LS10_to_LS11_RS3_0082,-1.182038087,-48.88
LS10_to_LS11_RS3_0083,-1.229506232,-49.16
LS10_to_LS11_RS3_0084,-1.280499541,-49.47
LS10_to_LS11_RS3_0085,-1.329181957,-49.85
